metric,value
udp_command_packets_sent,12523
udp_command_send_errors,0
udp_audio_packets_sent,0
udp_audio_send_errors,0
udp_packets_rx_total,40301
udp_socket_timeouts,130
udp_recv_errors,0
udp_unknown_packets,0
telemetry_packets_rx,17252
telemetry_packets_published,8697
telemetry_packets_wrong_id,2
telemetry_decode_attempts_ok,17254
telemetry_decode_attempts_failed,23047
video_packets_ok,17810
video_packets_non_jpeg,0
audio_packets_ok,5237
audio_packets_non_audio,0
cmd_vel_messages_rx,18058
force_rpi_messages_rx,0
cam_stable_messages_rx,2
cam_angle_messages_rx,2
audio_tx_messages_rx,0
