timestamp,elapsed_sec,seq,payload_size_bytes,field_count,keys_preview,dt_since_previous_sec,raw_json
1778635753.2595038,0.03706192970275879,1,373,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018254853],""rotation"":[-0.398512393],""mag_x"":[-5196],""mag_y"":[-853],""mag_z"":[-2455],""volts"":[12.53108395],""amps"":[0.367592773],""pcb_temp"":[24.15353012],""follow_mode"":false,""cpu_temp"":46.3,""absolute_ping_millis"":1778635753137.1956,""robot_server_ping"":142.412841796875,""client_server_ping"":68.98779296875}"
1778635753.359853,0.13741111755371094,2,373,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.10034918785095215,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018250768],""rotation"":[-0.398972913],""mag_x"":[-5155],""mag_y"":[-858],""mag_z"":[-2442],""volts"":[12.52109372],""amps"":[0.571640625],""pcb_temp"":[24.20058823],""follow_mode"":false,""cpu_temp"":45.75,""absolute_ping_millis"":1778635753244.7761,""robot_server_ping"":143.2841796875,""client_server_ping"":65.775634765625}"
1778635753.4598463,0.23740434646606445,3,371,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.09999322891235352,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018280135],""rotation"":[-0.399399371],""mag_x"":[-5166],""mag_y"":[-866],""mag_z"":[-2435],""volts"":[12.55772458],""amps"":[0.5965625],""pcb_temp"":[24.15353012],""follow_mode"":false,""cpu_temp"":44.65,""absolute_ping_millis"":1778635753347.2268,""robot_server_ping"":141.413330078125,""client_server_ping"":63.8388671875}"
1778635753.5597875,0.33734560012817383,4,373,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.09994125366210938,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018248568],""rotation"":[-0.399848527],""mag_x"":[-5158],""mag_y"":[-835],""mag_z"":[-2437],""volts"":[12.46115231],""amps"":[0.699365234],""pcb_temp"":[24.10647011],""follow_mode"":false,""cpu_temp"":44.65,""absolute_ping_millis"":1778635753447.082,""robot_server_ping"":139.398193359375,""client_server_ping"":101.4345703125}"
1778635753.6597383,0.43729639053344727,5,373,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.09995079040527344,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018268561],""rotation"":[-0.400300384],""mag_x"":[-5161],""mag_y"":[-842],""mag_z"":[-2430],""volts"":[12.52109372],""amps"":[0.498432617],""pcb_temp"":[24.15353012],""follow_mode"":false,""cpu_temp"":45.75,""absolute_ping_millis"":1778635753549.785,""robot_server_ping"":140.42333984375,""client_server_ping"":56.067138671875}"
1778635753.7598157,0.5373737812042236,6,372,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.10007739067077637,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018287804],""rotation"":[-0.400687071],""mag_x"":[-5157],""mag_y"":[-845],""mag_z"":[-2437],""volts"":[12.660957],""amps"":[0.381611328],""pcb_temp"":[24.01235199],""follow_mode"":false,""cpu_temp"":45.2,""absolute_ping_millis"":1778635753657.8835,""robot_server_ping"":140.730224609375,""client_server_ping"":99.533447265625}"
1778635753.8595667,0.63712477684021,7,372,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.09975099563598633,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018399482],""rotation"":[-0.401085363],""mag_x"":[-5183],""mag_y"":[-853],""mag_z"":[-2445],""volts"":[12.58769528],""amps"":[0.471953125],""pcb_temp"":[24.15353012],""follow_mode"":false,""cpu_temp"":44.65,""absolute_ping_millis"":1778635753768.572,""robot_server_ping"":143.8486328125,""client_server_ping"":56.949462890625}"
1778635753.9597812,0.7373392581939697,8,374,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.10021448135375977,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018343204],""rotation"":[-0.401495085],""mag_x"":[-5196],""mag_y"":[-850],""mag_z"":[-2452],""volts"":[12.61766599],""amps"":[0.380053711],""pcb_temp"":[24.20058823],""follow_mode"":false,""cpu_temp"":44.65,""absolute_ping_millis"":1778635753869.7031,""robot_server_ping"":142.03759765625,""client_server_ping"":62.889892578125}"
1778635754.059648,0.8372061252593994,9,372,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.09986686706542969,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018364083],""rotation"":[-0.401974105],""mag_x"":[-5173],""mag_y"":[-845],""mag_z"":[-2440],""volts"":[12.72755856],""amps"":[0.292827148],""pcb_temp"":[24.10647011],""follow_mode"":false,""cpu_temp"":45.2,""absolute_ping_millis"":1778635753972.183,""robot_server_ping"":142.309814453125,""client_server_ping"":56.66357421875}"
1778635754.1597846,0.937342643737793,10,369,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.10013651847839355,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018377849],""rotation"":[-0.402162488],""mag_x"":[-5196],""mag_y"":[-850],""mag_z"":[-2460],""volts"":[12.67427731],""amps"":[0.439243164],""pcb_temp"":[24.20058823],""follow_mode"":false,""cpu_temp"":45.2,""absolute_ping_millis"":1778635754022.8577,""robot_server_ping"":141.40234375,""client_server_ping"":56.66357421875}"
1778635754.2597654,1.0373234748840332,11,374,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.09998083114624023,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018327141],""rotation"":[-0.402606006],""mag_x"":[-5173],""mag_y"":[-850],""mag_z"":[-2470],""volts"":[12.53774411],""amps"":[0.272578125],""pcb_temp"":[24.20058823],""follow_mode"":false,""cpu_temp"":45.75,""absolute_ping_millis"":1778635754124.1477,""robot_server_ping"":140.77294921875,""client_server_ping"":64.966064453125}"
1778635754.3598077,1.1373658180236816,12,373,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.10004234313964844,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018305711],""rotation"":[-0.403020308],""mag_x"":[-5168],""mag_y"":[-850],""mag_z"":[-2432],""volts"":[12.55106442],""amps"":[0.439243164],""pcb_temp"":[24.10647011],""follow_mode"":false,""cpu_temp"":43.0,""absolute_ping_millis"":1778635754234.7175,""robot_server_ping"":142.99267578125,""client_server_ping"":55.216552734375}"
