timestamp,elapsed_sec,seq,direction,payload_size_bytes,sample_rate,channels,encoding,samples_per_channel,dt_since_previous_sec
1778637734.9838483,0.15403318405151367,1,rx,2730,16000,1,pcm_u8,2730,
1778637735.1555738,0.325758695602417,2,rx,2730,16000,1,pcm_u8,2730,0.17172551155090332
1778637735.3239112,0.494096040725708,3,rx,2730,16000,1,pcm_u8,2730,0.16833734512329102
1778637735.4954374,0.6656222343444824,4,rx,2730,16000,1,pcm_u8,2730,0.17152619361877441
1778637735.6735845,0.8437693119049072,5,rx,2730,16000,1,pcm_u8,2730,0.1781470775604248
1778637735.8372357,1.007420539855957,6,rx,2730,16000,1,pcm_u8,2730,0.1636512279510498
1778637736.0073245,1.1775093078613281,7,rx,2730,16000,1,pcm_u8,2730,0.1700887680053711
1778637736.1800904,1.3502752780914307,8,rx,2730,16000,1,pcm_u8,2730,0.17276597023010254
1778637736.350459,1.520643949508667,9,rx,2730,16000,1,pcm_u8,2730,0.17036867141723633
1778637736.5190904,1.6892752647399902,10,rx,2730,16000,1,pcm_u8,2730,0.16863131523132324
1778637736.6914852,1.8616700172424316,11,rx,2730,16000,1,pcm_u8,2730,0.1723947525024414
1778637736.869474,2.039658784866333,12,rx,2730,16000,1,pcm_u8,2730,0.17798876762390137
1778637737.0309627,2.2011475563049316,13,rx,2730,16000,1,pcm_u8,2730,0.16148877143859863
1778637737.203581,2.3737659454345703,14,rx,2730,16000,1,pcm_u8,2730,0.17261838912963867
1778637737.372456,2.5426409244537354,15,rx,2730,16000,1,pcm_u8,2730,0.16887497901916504
1778637737.5440035,2.71418833732605,16,rx,2730,16000,1,pcm_u8,2730,0.17154741287231445
1778637737.7152967,2.885481595993042,17,rx,2730,16000,1,pcm_u8,2730,0.1712932586669922
1778637737.8852193,3.0554041862487793,18,rx,2730,16000,1,pcm_u8,2730,0.1699225902557373
1778637738.06141,3.2315948009490967,19,rx,2730,16000,1,pcm_u8,2730,0.17619061470031738
1778637738.2283092,3.398494005203247,20,rx,2730,16000,1,pcm_u8,2730,0.1668992042541504
1778637738.4011953,3.571380138397217,21,rx,2730,16000,1,pcm_u8,2730,0.17288613319396973
1778637738.5689824,3.7391672134399414,22,rx,2730,16000,1,pcm_u8,2730,0.1677870750427246
1778637738.7431881,3.9133729934692383,23,rx,2730,16000,1,pcm_u8,2730,0.17420578002929688
1778637738.9111164,4.081301212310791,24,rx,2730,16000,1,pcm_u8,2730,0.16792821884155273
1778637739.2594905,4.429675340652466,25,rx,2730,16000,1,pcm_u8,2730,0.3483741283416748
1778637739.4241674,4.5943522453308105,26,rx,2730,16000,1,pcm_u8,2730,0.16467690467834473
1778637739.6099753,4.780160188674927,27,rx,2730,16000,1,pcm_u8,2730,0.1858079433441162
1778637739.7689369,4.939121723175049,28,rx,2730,16000,1,pcm_u8,2730,0.15896153450012207
1778637739.9378114,5.107996225357056,29,rx,2730,16000,1,pcm_u8,2730,0.16887450218200684
1778637740.1072197,5.277404546737671,30,rx,2730,16000,1,pcm_u8,2730,0.16940832138061523
1778637740.2773502,5.447535037994385,31,rx,2730,16000,1,pcm_u8,2730,0.17013049125671387
1778637740.4558368,5.62602162361145,32,rx,2730,16000,1,pcm_u8,2730,0.17848658561706543
1778637740.618902,5.789086818695068,33,rx,2730,16000,1,pcm_u8,2730,0.16306519508361816
1778637740.7953281,5.965512990951538,34,rx,2730,16000,1,pcm_u8,2730,0.17642617225646973
1778637740.9602246,6.130409479141235,35,rx,2730,16000,1,pcm_u8,2730,0.16489648818969727
1778637741.1325748,6.302759647369385,36,rx,2730,16000,1,pcm_u8,2730,0.17235016822814941
1778637741.3050172,6.4752020835876465,37,rx,2730,16000,1,pcm_u8,2730,0.17244243621826172
1778637741.4714313,6.641616106033325,38,rx,2730,16000,1,pcm_u8,2730,0.1664140224456787
1778637741.6445217,6.814706563949585,39,rx,2730,16000,1,pcm_u8,2730,0.17309045791625977
1778637741.8191519,6.989336729049683,40,rx,2730,16000,1,pcm_u8,2730,0.17463016510009766
1778637741.985188,7.155372858047485,41,rx,2730,16000,1,pcm_u8,2730,0.16603612899780273
1778637742.1635375,7.333722352981567,42,rx,2730,16000,1,pcm_u8,2730,0.17834949493408203
1778637742.3330038,7.503188610076904,43,rx,2730,16000,1,pcm_u8,2730,0.16946625709533691
1778637742.5031009,7.673285722732544,44,rx,2730,16000,1,pcm_u8,2730,0.17009711265563965
1778637742.6691048,7.839289665222168,45,rx,2730,16000,1,pcm_u8,2730,0.16600394248962402
1778637742.8355772,8.005762100219727,46,rx,2730,16000,1,pcm_u8,2730,0.1664724349975586
1778637743.007598,8.177782773971558,47,rx,2730,16000,1,pcm_u8,2730,0.17202067375183105
1778637743.177018,8.347202777862549,48,rx,2730,16000,1,pcm_u8,2730,0.1694200038909912
